id,text
877347833971482625,ChileReport
877347836219863040,Flynn
877347836219863040,SpecialCounsel
877347836219863040,FlynnGhazi
877347837289222144,putin
877347837289222144,trump
877347837289222144,usa
877347837289222144,exceptionalism
877347842007986177,ExpressFrontPage
877347843077545984,Dhoni
877347843077545984,RadhaComingTomorrow
877347843270463488,MatinReyTangu
877347844046413824,dogs
877347844046413824,Mesa
877347845249974272,Gandhi
877347845249974272,History
877347845249974272,India
877347845249974272,IndianHistory
877347844755206148,Bournemouth
877347845170507776,NowPlaying
877347845916971009,Trump
877347844230983681,AWS
877347844230983681,Microsoft
877347844230983681,defstar5
877347844230983681,makeyourownlane
877347844230983681,Mpgvip
877347846734753792,NowPlaying
877347844340027393,dogs
877347844340027393,SanAntonio
877347847334526976,Cricket
877347848127365120,customs
877347848127365120,India
877347848127365120,Indigenous
877347848127365120,peoples
877347848127365120,Manners
877347848127365120,followme
877347847120855041,BBC
877347847120855041,artificialintelligence
877347849150885888,dogs
877347849150885888,Marengo
877347848827715585,tech
877347848827715585,freelancer
877347848827715585,cyber
877347848827715585,web
877347848827715585,tamil
877347848827715585,india
877347848827715585,hack
877347848827715585,nellai
877347848827715585,news
877347850039902208,BAMA2017DiamondEdition_EXO
877347850039902208,BAMA2017
877347850039902208,USA
877347850178441216,AirWorldToday
877347850744680448,dog
877347850744680448,dogs
877347850744680448,puppy
877347850744680448,puppies
877347850744680448,animals
877347850744680448,pets
877347850744680448,America
877347850744680448,adventure
877347851306541056,Jun21
877347851893735424,twitter
877347852157988864,LondonBridge
877347852157988864,BanSharia
877347852157988864,SadiqKhan
877347854125211648,Yoga
877347854125211648,YogaDay2017
877347854284603392,happeningnow
877347856184520705,mexico
877347856692256768,WITCH
877347856692256768,FAMOUS
877347856692256768,paranormal
877347858508271616,dogs
877347858508271616,Dawsonville
877347859162595328,usa
877347859162595328,Birmanie
877347859162595328,Isère
877347859162595328,Goncelin
877347859162595328,Autisme
877347859162595328,Chine
877347859162595328,Hockey
877347860144115714,bitcoin
877347860144115714,Kansas
877347860265791489,TrendingUk
877347861486338048,nowplaying
877347861486338048,love
877347861486338048,romantic
877347861486338048,music
877347861486338048,romance
877347861486338048,radio
877347861486338048,RnB
877347861486338048,Jazz
877347861486338048,popmusic
877347861486338048,USA
877347864246194177,SDLive
877347864338366464,OnSale
877347865156300800,Granma
877347865156300800,USA
877347865156300800,EEUU
877347865156300800,Cuba
877347864099397632,Frankfurt
877347868842926080,GeotechnicalEngineer
877347868893339648,BAMA2017DiamondEdition_EXO
877347868893339648,BAMA2017
877347868893339648,USA
877347868738191361,dogs
877347868738191361,Buckeye
